case,mode,ct,cq,figure_of_merit,eta,delta_fom_pct,delta_eta_pct,trim_collective_deg,design_vector
HM1,hover,0.0096913435116293,0.0009564068781416651,0.7053721242060196,,5.835187397336061,,-0.9654438789207331,"[-0.693227384194163, -3.102657522762789, -5.0, -5.0, -4.999999999999999, 5.0, 5.0, 1.0, 1.0, 0.0]"
HM2,hover,0.015727531737347006,0.001711375700237904,0.8149491223201779,,1.9388432898878705,,2.328145356948279,"[-0.11637836333777284, -1.0633909777839476, -3.152486010968434, -5.0, -3.769210746861239, 2.0892978815108454, 5.0, 1.0, 1.0, 0.0]"
HM3,hover,0.015727531737347006,0.0016677110091371323,0.8362864532450164,,4.6078477391214845,,3.0106218774886857,"[0.0005099432593593647, -0.1861275263709056, -0.8075247129570978, -1.7652564078997024, -2.061119093021201, -0.18126514919297937, 4.999999999999998, 0.85, 0.5, 0.0]"
AM1,airplane,0.012982508190302503,0.011056892836087804,,0.8911837948070487,,0.0,40.39,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]"
AM2,airplane,0.012982508190302479,0.010879293965959368,,0.905731911213289,,1.6324484905372527,40.96100869114221,"[0.010570551709520775, 0.014110077844115122, 0.009100418741303845, 0.0037429451832634926, 0.00026821520421618013, -0.0073689066526360075, -0.030414467062825055, 0.8500000000000001, 0.5, 0.0]"
MP1,hover,0.01572753173734701,0.0017237555281179335,0.8090962448670045,,1.206729417803043,,2.665538394604175,"[0.2981465653972466, 0.25459535048891896, -0.38377085743367767, -1.2950971702816976, -1.6638416412078194, -0.5105439255266011, 3.301068020286483, 1.0, 1.0, 0.0]"
MP1,airplane,0.012982508190302545,0.011113645751922138,,0.886632877850673,,-0.510659751994369,39.974254072743776,"[0.2981465653972466, 0.25459535048891896, -0.38377085743367767, -1.2950971702816976, -1.6638416412078194, -0.5105439255266011, 3.301068020286483, 1.0, 1.0, 0.0]"
MP2,hover,0.01572753173734701,0.0017445565931667388,0.7994490579049166,,0.0,,3.3899999999999997,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]"
MP2,airplane,0.012982508190302503,0.011056892836087804,,0.8911837948070487,,0.0,40.39,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]"
MP3,hover,0.01572753173734701,0.0016830805580044007,0.8286496556781648,,3.652590178762982,,4.132104104154083,"[0.0042811628350509475, 0.004914383135116763, 0.0001197431431654324, -0.006514945942503173, -0.009908472303036351, -0.0053343829266645285, 0.01243419175595789, 0.85, 0.5, 0.0]"
MP3,airplane,0.01298250819030251,0.010879625748387271,,0.9057042902326177,,1.6293491320399145,40.953889413883374,"[0.0042811628350509475, 0.004914383135116763, 0.0001197431431654324, -0.006514945942503173, -0.009908472303036351, -0.0053343829266645285, 0.01243419175595789, 0.85, 0.5, 0.0]"
